epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4616,1.95004,2.83244,2.00571,0.12791,0.5355,0.17295,0.06187,2.26264,7.27897,2.84342,0.0675771,0.000661692,0.000661692
2,36.7849,1.93879,2.5695,2.03763,0.12232,0.57717,0.14399,0.0374,2.2586,6.3509,2.6448,0.0346474,0.00106534,0.00106534
3,53.8091,1.92514,2.47682,2.07167,0.17465,0.39616,0.2034,0.07974,1.95898,2.37695,2.27812,0.00145375,0.001205,0.001205
4,70.8257,1.77902,2.32531,1.89893,0.24894,0.59455,0.30289,0.12806,1.84822,2.03865,2.17079,0.000812,0.000812,0.000812
5,88.0816,1.7725,2.26465,1.93358,0.28347,0.59481,0.43097,0.16443,1.89743,2.31655,2.20927,0.000416,0.000416,0.000416
