epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7716,1.39277,1.16942,2.05908,0.75242,0.77798,0.75163,0.37075,1.81337,1.36904,2.70251,0.067193,0.000331384,0.000331384
2,121.939,1.45462,1.14183,2.10347,0.64827,0.68709,0.66448,0.33064,1.82553,1.54042,2.76244,0.0341272,0.00059891,0.00059891
3,170.745,1.38899,1.11476,1.98858,0.72212,0.62536,0.71206,0.36056,1.75617,1.57994,2.61927,0.000995368,0.000800437,0.000800437
4,222.565,1.37748,1.15173,2.00228,0.6492,0.68356,0.70026,0.35246,1.74172,1.55211,2.61108,0.000703,0.000703,0.000703
5,273.468,1.34199,1.11711,2.00589,0.62946,0.7332,0.74236,0.37785,1.68956,1.39082,2.50955,0.000604,0.000604,0.000604
6,322.997,1.36843,1.1092,1.98698,0.69954,0.69307,0.6739,0.32873,1.83271,1.50276,2.75303,0.000505,0.000505,0.000505
7,367.747,1.37732,1.08253,2.02374,0.68472,0.73623,0.72839,0.35728,1.74792,1.44301,2.57123,0.000406,0.000406,0.000406
8,414.887,1.39959,1.08194,1.99072,0.73523,0.73093,0.74525,0.37242,1.73549,1.39625,2.6288,0.000307,0.000307,0.000307
9,465.856,1.40851,1.09995,2.02648,0.70765,0.72635,0.73905,0.37777,1.70563,1.42556,2.62435,0.000208,0.000208,0.000208
10,515.865,1.40171,1.12113,2.01786,0.66113,0.7144,0.70627,0.37777,1.69626,1.40941,2.59467,0.000109,0.000109,0.000109
