epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4292,1.32442,1.13298,1.68106,0.57362,0.67527,0.694,0.32888,1.74371,1.48153,2.09078,0.0672463,0.000330846,0.000330846
2,68.801,1.35632,1.10248,1.70139,0.66915,0.65593,0.68634,0.30467,1.86453,1.56303,2.25198,0.0341805,0.000598425,0.000598425
3,86.3061,1.38982,1.13131,1.70691,0.73607,0.69298,0.75139,0.3643,1.75223,1.39099,2.05239,0.00104876,0.000800005,0.000800005
4,107.932,1.37792,1.16465,1.68325,0.62731,0.68703,0.69245,0.31802,1.77659,1.53846,2.1115,0.000703,0.000703,0.000703
5,125.75,1.40453,1.14819,1.71702,0.68599,0.59736,0.70569,0.3442,1.66621,1.5042,2.00594,0.000604,0.000604,0.000604
6,143.496,1.36704,1.0833,1.66281,0.60439,0.71016,0.69475,0.33505,1.77874,1.54146,2.08524,0.000505,0.000505,0.000505
7,161.091,1.38303,1.08375,1.7087,0.58754,0.69651,0.65085,0.31832,1.79711,1.53319,2.13302,0.000406,0.000406,0.000406
8,183.278,1.33761,1.04762,1.66984,0.66667,0.7318,0.71094,0.36053,1.65192,1.48789,1.98623,0.000307,0.000307,0.000307
9,204.936,1.37061,1.05009,1.699,0.69616,0.70434,0.71596,0.36196,1.6853,1.41596,2.01854,0.000208,0.000208,0.000208
10,222.4,1.36583,1.03417,1.67605,0.66021,0.70974,0.69574,0.35856,1.66908,1.37989,2.03743,0.000109,0.000109,0.000109
