epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3627,1.36931,1.10562,1.69944,0.53625,0.53301,0.53806,0.24667,1.91895,1.7493,2.27855,0.068806,0.00164179,0.00164179
2,63.6142,1.66707,1.51402,1.97675,0.36707,0.08547,0.04504,0.01349,2.80796,3.51418,3.22769,0.0368118,0.00298092,0.00298092
3,85.9351,1.80756,1.5402,2.04027,0.14331,0.2807,0.16518,0.04681,2.60884,2.85634,2.88763,0.00448756,0.00399005,0.00399005
4,107.944,1.74774,1.57127,2.00995,0.62128,0.19163,0.18317,0.07763,2.70086,3.19009,3.24977,0.003515,0.003515,0.003515
5,129.482,1.75674,1.53658,2.01828,0.3326,0.36353,0.30842,0.11337,2.296,2.46727,2.58701,0.00302,0.00302,0.00302
6,148.786,1.69627,1.49094,1.9313,0.58409,0.52557,0.55362,0.24708,1.99463,1.80927,2.29588,0.002525,0.002525,0.002525
7,163.981,1.64721,1.40201,1.88628,0.53508,0.6607,0.61356,0.26932,1.71192,1.66234,1.95441,0.00203,0.00203,0.00203
8,179.041,1.61475,1.35258,1.85892,0.72176,0.64154,0.72012,0.34164,1.69554,1.51963,1.95633,0.001535,0.001535,0.001535
9,193.991,1.56968,1.30376,1.83532,0.62798,0.77119,0.76078,0.37585,1.64954,1.36157,1.91785,0.00104,0.00104,0.00104
10,208.794,1.52222,1.26559,1.76609,0.66369,0.74712,0.75673,0.37342,1.73742,1.37395,2.01668,0.000545,0.000545,0.000545
