epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5333,1.32447,1.22955,1.68022,0.56177,0.72137,0.63828,0.29086,1.90142,1.77631,2.46773,0.0672463,0.000330846,0.000330846
2,58.7947,1.37986,1.31116,1.72144,0.51054,0.55576,0.53022,0.21939,1.78352,2.31298,2.23188,0.0341805,0.000598425,0.000598425
3,75.9536,1.36713,1.35136,1.70892,0.68566,0.62939,0.6988,0.31959,1.75759,1.6452,2.07085,0.00104876,0.000800005,0.000800005
4,93.1096,1.41591,1.31996,1.72555,0.64289,0.65642,0.69175,0.28811,1.79871,1.59633,2.14164,0.000703,0.000703,0.000703
5,110.18,1.39514,1.27026,1.73286,0.6596,0.68127,0.73904,0.3598,1.69401,1.507,2.08789,0.000604,0.000604,0.000604
6,127.368,1.33192,1.21642,1.65625,0.69079,0.73613,0.75952,0.36078,1.67921,1.47831,1.9969,0.000505,0.000505,0.000505
7,144.507,1.35226,1.17391,1.68856,0.61437,0.70599,0.69591,0.32741,1.67848,1.80119,2.00244,0.000406,0.000406,0.000406
8,161.943,1.29403,1.12236,1.63578,0.68823,0.73323,0.71153,0.30705,1.7028,1.62762,2.04025,0.000307,0.000307,0.000307
9,179.299,1.30311,1.12177,1.65595,0.63631,0.74086,0.71798,0.3238,1.70158,1.48329,2.0025,0.000208,0.000208,0.000208
10,196.548,1.32064,1.08568,1.63401,0.64418,0.67683,0.69862,0.33099,1.71931,1.48228,2.06594,0.000109,0.000109,0.000109
