epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6065,1.27643,1.05023,1.61486,0.50243,0.57277,0.5904,0.27565,1.98028,1.78137,2.54562,0.0672463,0.000330846,0.000330846
2,69.3417,1.23685,1.00593,1.55841,0.67816,0.72416,0.7296,0.35017,1.79168,1.39427,2.08401,0.0341805,0.000598425,0.000598425
3,87.3996,1.27912,1.05392,1.61797,0.56527,0.65902,0.62275,0.30747,1.72401,1.62519,2.13144,0.00104876,0.000800005,0.000800005
4,104.987,1.32209,1.1245,1.64748,0.57351,0.62677,0.66395,0.3389,1.6266,1.66872,1.98294,0.000703,0.000703,0.000703
5,122.648,1.29893,1.06154,1.62916,0.72173,0.72717,0.76655,0.34682,1.80866,1.42949,2.13525,0.000604,0.000604,0.000604
6,140.772,1.30619,1.01217,1.60398,0.67743,0.67176,0.72737,0.33259,1.75098,1.45113,2.05477,0.000505,0.000505,0.000505
7,158.289,1.33066,1.04719,1.65388,0.67736,0.67096,0.67006,0.32373,1.83326,1.47384,2.23757,0.000406,0.000406,0.000406
8,176.192,1.31481,1.01537,1.63333,0.64669,0.70214,0.69819,0.34135,1.69285,1.4552,2.05538,0.000307,0.000307,0.000307
9,194.234,1.35521,1.01304,1.6731,0.69812,0.68977,0.72467,0.34971,1.69303,1.44704,2.05541,0.000208,0.000208,0.000208
10,212.485,1.347,1.00697,1.65944,0.7262,0.72535,0.72134,0.33935,1.71097,1.42225,2.10953,0.000109,0.000109,0.000109
