epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5766,1.45328,1.4399,1.82053,0.54051,0.6552,0.58463,0.24521,1.91346,1.76139,2.30789,0.0672463,0.000330846,0.000330846
2,60.774,1.47725,1.46498,1.79542,0.50336,0.57151,0.52247,0.23384,1.74282,2.16399,2.11353,0.0341805,0.000598425,0.000598425
3,77.801,1.45236,1.49086,1.79484,0.47853,0.7231,0.57098,0.23427,1.85558,1.70155,2.11767,0.00104876,0.000800005,0.000800005
4,94.8362,1.52572,1.45243,1.82986,0.55744,0.61498,0.59921,0.24413,1.85284,1.74015,2.15807,0.000703,0.000703,0.000703
5,111.923,1.45478,1.37864,1.78458,0.55123,0.73531,0.70614,0.30758,1.75772,1.64839,2.10993,0.000604,0.000604,0.000604
6,129.123,1.41311,1.3064,1.72674,0.61089,0.68359,0.69727,0.31982,1.72879,1.56537,2.05774,0.000505,0.000505,0.000505
7,146.345,1.4698,1.29702,1.79695,0.62379,0.7321,0.69771,0.33011,1.74913,1.55885,2.10875,0.000406,0.000406,0.000406
8,163.478,1.37985,1.24761,1.70637,0.69151,0.61433,0.71347,0.31854,1.6287,1.65683,1.93398,0.000307,0.000307,0.000307
9,180.718,1.34269,1.23077,1.69871,0.63623,0.7403,0.72759,0.33858,1.59383,1.54224,1.91108,0.000208,0.000208,0.000208
10,197.909,1.36139,1.21212,1.68048,0.67317,0.76518,0.71961,0.3544,1.60272,1.53278,1.95502,0.000109,0.000109,0.000109
