epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.9676,1.45267,1.2131,2.12123,0.6588,0.6405,0.63739,0.29216,2.03545,1.45057,3.04952,0.0676901,0.00082846,0.00082846
2,123.189,1.52245,1.26148,2.18128,0.34808,0.44778,0.33627,0.12494,2.64048,2.37529,3.57033,0.0350255,0.00149728,0.00149728
3,174.785,1.51959,1.24751,2.1183,0.70138,0.61281,0.68993,0.34822,1.81101,1.49407,2.67389,0.00219602,0.00200109,0.00200109
4,224.655,1.52082,1.33772,2.13484,0.64409,0.61926,0.66528,0.32622,1.74817,1.68609,2.60167,0.0017575,0.0017575,0.0017575
5,269.536,1.52954,1.28239,2.16109,0.43312,0.69202,0.57274,0.29044,1.82394,1.7012,2.79507,0.00151,0.00151,0.00151
6,314.506,1.56263,1.27454,2.17092,0.66272,0.69172,0.66427,0.31772,1.86859,1.48716,2.7588,0.0012625,0.0012625,0.0012625
7,359.338,1.49444,1.25927,2.13404,0.65143,0.71787,0.73029,0.35982,1.7348,1.45461,2.61787,0.001015,0.001015,0.001015
8,404.502,1.4841,1.19473,2.09608,0.75489,0.66792,0.71629,0.35159,1.81685,1.41932,2.74172,0.0007675,0.0007675,0.0007675
9,448.723,1.47523,1.20049,2.09626,0.7099,0.67851,0.70259,0.35642,1.7836,1.51002,2.66525,0.00052,0.00052,0.00052
10,495.897,1.46922,1.17687,2.06326,0.72811,0.73245,0.72832,0.36674,1.74271,1.42469,2.60582,0.0002725,0.0002725,0.0002725
