epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9289,1.37723,1.14113,2.04121,0.65641,0.70912,0.6914,0.32696,1.89527,1.5029,2.878,0.0675244,0.000662768,0.000662768
2,130.071,1.45988,1.15414,2.1238,0.58646,0.61918,0.57724,0.26161,2.00287,1.75149,2.98709,0.0347261,0.00119782,0.00119782
3,182.084,1.46547,1.1452,2.06514,0.71059,0.6452,0.69236,0.3216,1.88378,1.54264,2.78397,0.00179581,0.00160087,0.00160087
4,234.541,1.40948,1.19216,2.01498,0.61816,0.65517,0.62716,0.31236,1.79277,1.5886,2.66835,0.001406,0.001406,0.001406
5,282.527,1.42327,1.1773,2.07027,0.57828,0.59821,0.61706,0.30109,1.82269,1.48869,2.75109,0.001208,0.001208,0.001208
6,326.401,1.48055,1.14803,2.08669,0.65301,0.68187,0.70807,0.3317,1.8487,1.45428,2.75184,0.00101,0.00101,0.00101
7,370.029,1.44517,1.14984,2.06754,0.63681,0.68889,0.71387,0.36275,1.76676,1.42843,2.60833,0.000812,0.000812,0.000812
8,417.904,1.4324,1.12687,2.01761,0.68897,0.70253,0.73787,0.37322,1.76147,1.46046,2.65443,0.000614,0.000614,0.000614
9,461.836,1.42697,1.14007,2.03972,0.70746,0.66189,0.67719,0.3528,1.68603,1.47616,2.58762,0.000416,0.000416,0.000416
10,505.745,1.4561,1.14222,2.04164,0.73109,0.69496,0.73776,0.37723,1.67451,1.41955,2.55047,0.000218,0.000218,0.000218
