epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.6832,1.62893,1.44967,2.30173,0.61427,0.60276,0.66852,0.32585,1.74948,1.64008,2.61886,0.0675244,0.000662768,0.000662768
2,140.436,1.66815,1.47322,2.30856,0.3457,0.34452,0.3226,0.10964,2.60058,2.91445,3.53624,0.0347261,0.00119782,0.00119782
3,192.299,1.65648,1.42442,2.25851,0.62986,0.70961,0.66054,0.32432,1.80306,1.52082,2.67871,0.00179581,0.00160087,0.00160087
4,242.241,1.59959,1.4695,2.21472,0.70063,0.65866,0.72255,0.38001,1.72208,1.53542,2.57928,0.001406,0.001406,0.001406
5,294.759,1.59301,1.41492,2.22317,0.67514,0.62003,0.651,0.32654,1.82096,1.51345,2.70725,0.001208,0.001208,0.001208
6,343.89,1.61835,1.41351,2.21403,0.69885,0.63034,0.67403,0.33917,1.77413,1.58364,2.63443,0.00101,0.00101,0.00101
7,396.803,1.57868,1.37168,2.22058,0.66785,0.71897,0.72698,0.37611,1.79616,1.4444,2.66558,0.000812,0.000812,0.000812
8,444.642,1.58629,1.30894,2.17309,0.6408,0.73265,0.73563,0.39159,1.71011,1.44758,2.55133,0.000614,0.000614,0.000614
9,490.212,1.55118,1.27916,2.15972,0.69153,0.67909,0.75459,0.39427,1.68872,1.39027,2.54388,0.000416,0.000416,0.000416
10,535.636,1.51756,1.25913,2.10732,0.75778,0.73104,0.77323,0.40584,1.65454,1.36954,2.47673,0.000218,0.000218,0.000218
