epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0268,1.40258,1.17196,1.73017,0.66255,0.59684,0.63402,0.29658,1.83748,1.75208,2.20327,0.0675771,0.000661692,0.000661692
2,81.5162,1.44379,1.31063,1.74524,0.61696,0.59881,0.61196,0.29124,1.81863,2.00674,2.21076,0.0347789,0.00119685,0.00119685
3,100.607,1.46418,1.2303,1.76315,0.6454,0.62014,0.66507,0.31552,1.85981,1.67524,2.18016,0.00184877,0.00160001,0.00160001
4,119.54,1.55313,1.29913,1.82626,0.499,0.60757,0.58925,0.28465,1.96855,1.76042,2.40694,0.001406,0.001406,0.001406
5,138.254,1.52845,1.30047,1.82964,0.39187,0.44641,0.38629,0.16294,2.49862,2.77934,3.14346,0.001208,0.001208,0.001208
6,159.043,1.50346,1.24376,1.76638,0.55735,0.66396,0.60911,0.2885,1.86321,1.74182,2.26243,0.00101,0.00101,0.00101
7,177.182,1.50838,1.25585,1.79986,0.64663,0.65515,0.68021,0.32094,1.77254,1.58596,2.06675,0.000812,0.000812,0.000812
8,197.494,1.44995,1.19991,1.75332,0.77179,0.70566,0.7648,0.35291,1.7138,1.4731,1.97356,0.000614,0.000614,0.000614
9,228.647,1.40417,1.15625,1.71728,0.58677,0.6589,0.63845,0.30428,1.73621,1.63443,2.08013,0.000416,0.000416,0.000416
10,253.846,1.42345,1.14,1.72159,0.65444,0.69937,0.71739,0.35051,1.67897,1.47891,2.03377,0.000218,0.000218,0.000218
