epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.0398,1.51145,1.33462,2.16035,0.66048,0.63928,0.66989,0.30408,1.80884,1.64142,2.76523,0.0675244,0.000662768,0.000662768
2,137.966,1.54021,1.33195,2.19564,0.7216,0.5523,0.64098,0.33048,1.78146,1.74284,2.63285,0.0347261,0.00119782,0.00119782
3,189.095,1.588,1.31082,2.1761,0.59239,0.64288,0.6333,0.32604,1.87339,1.58885,2.73849,0.00179581,0.00160087,0.00160087
4,240.913,1.57668,1.38623,2.18127,0.67974,0.63776,0.6602,0.31854,1.88673,1.6597,2.82355,0.001406,0.001406,0.001406
5,292.857,1.54016,1.31363,2.19343,0.58585,0.67925,0.63933,0.3188,1.87196,1.55987,2.78027,0.001208,0.001208,0.001208
6,343.584,1.54046,1.26724,2.16433,0.6682,0.71126,0.7093,0.34988,1.76654,1.47301,2.6098,0.00101,0.00101,0.00101
7,395.475,1.52443,1.26677,2.15748,0.68633,0.728,0.70319,0.37079,1.7647,1.37336,2.61573,0.000812,0.000812,0.000812
8,447.497,1.50791,1.20844,2.10348,0.7516,0.70882,0.7673,0.37977,1.73876,1.42516,2.62995,0.000614,0.000614,0.000614
9,493.999,1.48777,1.2213,2.10361,0.7301,0.69015,0.74517,0.37374,1.76526,1.44363,2.64503,0.000416,0.000416,0.000416
10,540.934,1.45352,1.20072,2.06522,0.79354,0.71158,0.7684,0.3974,1.70894,1.40408,2.5618,0.000218,0.000218,0.000218
