epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7939,1.40623,1.10548,1.71204,0.63117,0.64822,0.70894,0.35404,1.72917,1.50287,2.10011,0.0674925,0.000328358,0.000328358
2,57.7934,1.40776,1.09508,1.73984,0.69504,0.68365,0.69657,0.32833,1.76991,1.45432,2.09659,0.034427,0.000596184,0.000596184
3,72.5624,1.46095,1.08892,1.75245,0.7447,0.67729,0.75398,0.35208,1.73889,1.4132,1.99663,0.00129552,0.00079801,0.00079801
4,87.4908,1.42308,1.10913,1.71952,0.7317,0.70032,0.75449,0.35752,1.64712,1.36244,1.92961,0.000703,0.000703,0.000703
5,103.915,1.41356,1.10667,1.72753,0.69466,0.70462,0.75175,0.37116,1.70397,1.29741,1.95817,0.000604,0.000604,0.000604
6,124.913,1.35943,1.05605,1.64486,0.6619,0.75372,0.73607,0.36769,1.65204,1.39932,1.94931,0.000505,0.000505,0.000505
7,142.608,1.31371,1.00498,1.60704,0.76437,0.75236,0.78937,0.3816,1.62788,1.33535,1.89884,0.000406,0.000406,0.000406
8,157.55,1.32246,0.97253,1.61695,0.77097,0.77258,0.80398,0.39764,1.57526,1.318,1.84567,0.000307,0.000307,0.000307
9,172.283,1.30065,0.99253,1.61874,0.73687,0.76601,0.76936,0.37551,1.59494,1.33414,1.8802,0.000208,0.000208,0.000208
10,186.852,1.24679,0.96949,1.5619,0.71101,0.77432,0.76362,0.37897,1.62252,1.33989,1.92255,0.000109,0.000109,0.000109
