epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9965,1.54471,1.64959,1.90029,0.37432,0.62903,0.41549,0.19013,2.00816,1.99353,2.42367,0.0672463,0.000330846,0.000330846
2,72.568,1.60095,1.63774,1.92539,0.41791,0.65292,0.46282,0.1952,1.69181,1.95318,2.03959,0.0341805,0.000598425,0.000598425
3,105.367,1.54664,1.61732,1.86113,0.58702,0.62326,0.63131,0.26057,1.8733,1.61867,2.16408,0.00104876,0.000800005,0.000800005
4,124.696,1.56843,1.5652,1.87054,0.44317,0.63217,0.47743,0.202,1.83865,1.89276,2.16389,0.000703,0.000703,0.000703
5,141.892,1.53211,1.5635,1.8639,0.43899,0.71128,0.56375,0.24352,1.82484,1.80514,2.17428,0.000604,0.000604,0.000604
6,159.066,1.48482,1.48003,1.78254,0.5447,0.62348,0.61632,0.26448,1.7055,1.65889,2.02078,0.000505,0.000505,0.000505
7,176.244,1.50471,1.48985,1.83712,0.52799,0.66204,0.60206,0.2768,1.62506,1.75438,1.96696,0.000406,0.000406,0.000406
8,193.548,1.42808,1.42418,1.74886,0.52339,0.63766,0.61958,0.26565,1.68241,1.71608,1.94875,0.000307,0.000307,0.000307
9,210.623,1.43259,1.3576,1.77086,0.58923,0.67751,0.63932,0.28469,1.65697,1.56271,1.94419,0.000208,0.000208,0.000208
10,227.821,1.4141,1.3024,1.72748,0.59792,0.69335,0.67383,0.30198,1.67586,1.61517,1.98119,0.000109,0.000109,0.000109
