epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8606,1.31712,1.21152,1.68605,0.50883,0.63569,0.60202,0.29354,1.71704,1.76988,2.12962,0.0672463,0.000330846,0.000330846
2,67.5087,1.28882,1.16339,1.63897,0.58826,0.64924,0.65977,0.3013,1.88973,1.59942,2.31777,0.0341805,0.000598425,0.000598425
3,93.3121,1.35175,1.19873,1.66415,0.48364,0.67659,0.58613,0.27616,1.78706,1.69747,2.16175,0.00104876,0.000800005,0.000800005
4,113.361,1.38241,1.27514,1.69014,0.70004,0.67436,0.67971,0.31773,1.82528,1.604,2.15926,0.000703,0.000703,0.000703
5,130.66,1.36459,1.20365,1.70569,0.65562,0.59021,0.659,0.31013,1.75674,1.62033,2.09842,0.000604,0.000604,0.000604
6,147.801,1.36536,1.14674,1.66689,0.65427,0.70996,0.72443,0.34155,1.75732,1.47009,2.1233,0.000505,0.000505,0.000505
7,165.202,1.36041,1.15934,1.70384,0.60766,0.74009,0.73222,0.34753,1.67472,1.5511,1.98132,0.000406,0.000406,0.000406
8,182.459,1.30455,1.13149,1.62709,0.73555,0.6796,0.71582,0.3486,1.61676,1.42361,1.96781,0.000307,0.000307,0.000307
9,199.709,1.29622,1.09684,1.64579,0.7375,0.66626,0.73858,0.33773,1.64122,1.4557,1.96331,0.000208,0.000208,0.000208
10,216.992,1.29768,1.0609,1.60774,0.77089,0.68499,0.74205,0.33795,1.66645,1.40428,2.00344,0.000109,0.000109,0.000109
