epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0377,1.85411,2.06993,2.18038,0.33553,0.55929,0.44962,0.1836,1.99703,2.07883,2.37478,0.0672463,0.000330846,0.000330846
2,60.3998,1.77465,1.96344,2.10493,0.3073,0.568,0.37407,0.1662,1.95016,2.41204,2.31216,0.0341805,0.000598425,0.000598425
3,77.5227,1.73358,1.94574,2.03774,0.36691,0.53378,0.40808,0.16226,1.95876,2.1302,2.25964,0.00104876,0.000800005,0.000800005
4,94.5061,1.70693,1.84786,2.03853,0.48387,0.61272,0.41349,0.17685,1.8143,2.20401,2.11043,0.000703,0.000703,0.000703
5,111.754,1.69869,1.82755,2.02193,0.29373,0.61257,0.4434,0.1936,1.76458,2.05834,2.09423,0.000604,0.000604,0.000604
6,129.031,1.55823,1.7393,1.87594,0.43648,0.62927,0.55259,0.2321,1.77187,1.80493,2.10582,0.000505,0.000505,0.000505
7,146.223,1.58406,1.66115,1.91234,0.50627,0.65509,0.5542,0.24245,1.67055,1.8061,1.94737,0.000406,0.000406,0.000406
8,163.519,1.50375,1.6403,1.84727,0.45496,0.65309,0.54562,0.25048,1.69173,1.82403,1.95603,0.000307,0.000307,0.000307
9,180.86,1.47089,1.55402,1.82993,0.48224,0.64127,0.58048,0.2701,1.68283,1.72576,1.9662,0.000208,0.000208,0.000208
10,198.769,1.48187,1.53083,1.80285,0.49216,0.63705,0.60728,0.27608,1.71928,1.7467,2.01254,0.000109,0.000109,0.000109
