epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.866,1.53996,1.36182,1.8071,0.67784,0.72657,0.75706,0.331,1.76121,1.39845,1.98672,0.0677132,0.000658915,0.000658915
2,81.4109,1.53201,1.28029,1.79597,0.68289,0.69767,0.66728,0.30631,1.69892,1.4968,1.9751,0.0349153,0.00119435,0.00119435
3,102.199,1.5457,1.2914,1.78094,0.70727,0.68888,0.7378,0.35372,1.69798,1.51353,1.94476,0.00198538,0.00159778,0.00159778
4,129.607,1.52152,1.31785,1.77457,0.64087,0.62597,0.69436,0.35586,1.60147,1.48517,1.90231,0.001406,0.001406,0.001406
5,154.935,1.46694,1.26405,1.72642,0.60597,0.67725,0.7159,0.30553,1.84016,1.59023,2.12352,0.001208,0.001208,0.001208
6,178.844,1.43346,1.19707,1.71083,0.71062,0.74723,0.76749,0.36637,1.67257,1.39921,1.93989,0.00101,0.00101,0.00101
7,203.889,1.42278,1.17975,1.70479,0.65464,0.6571,0.70189,0.33592,1.67217,1.45498,1.99658,0.000812,0.000812,0.000812
8,226.745,1.4017,1.15592,1.66197,0.68896,0.7289,0.76178,0.35486,1.65177,1.37648,1.92735,0.000614,0.000614,0.000614
9,245.208,1.3662,1.12572,1.66349,0.7523,0.71553,0.78261,0.39845,1.51873,1.33522,1.82067,0.000416,0.000416,0.000416
10,263.813,1.31809,1.08626,1.58826,0.75821,0.76163,0.80139,0.41778,1.54947,1.27435,1.8298,0.000218,0.000218,0.000218
