epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3146,1.17706,1.02949,1.55097,0.53973,0.62694,0.60861,0.29992,1.79581,1.74197,2.25475,0.0670808,0.000165423,0.000165423
2,71.1436,1.10754,1.00171,1.49184,0.55889,0.71815,0.68387,0.29452,1.89877,1.75111,2.41925,0.0338813,0.000299213,0.000299213
3,94.7063,1.19121,0.99542,1.53219,0.69161,0.6489,0.70735,0.32668,1.74337,1.4876,2.18495,0.000648759,0.000400002,0.000400002
4,124.925,1.18032,0.99403,1.5301,0.63062,0.70481,0.72459,0.34514,1.76854,1.53979,2.18373,0.0003515,0.0003515,0.0003515
5,156.316,1.19393,0.9951,1.54624,0.69993,0.68895,0.70817,0.33129,1.79235,1.48488,2.23177,0.000302,0.000302,0.000302
6,183.658,1.15743,0.93836,1.49631,0.67367,0.70607,0.71437,0.35637,1.71548,1.56755,2.09265,0.0002525,0.0002525,0.0002525
7,204.944,1.25071,0.97727,1.5886,0.62714,0.78162,0.70578,0.34853,1.78502,1.40321,2.19132,0.000203,0.000203,0.000203
8,230.766,1.22754,0.95473,1.56794,0.69197,0.71327,0.71876,0.35748,1.69955,1.42792,2.08735,0.0001535,0.0001535,0.0001535
9,248.392,1.2348,0.97019,1.58129,0.69122,0.76314,0.72906,0.35918,1.67849,1.42861,2.01045,0.000104,0.000104,0.000104
10,266.174,1.24228,0.96157,1.56679,0.69865,0.72801,0.72234,0.3574,1.68444,1.40554,2.06082,5.45e-05,5.45e-05,5.45e-05
