epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4745,1.93699,1.71555,3.03679,0.65365,0.65222,0.67249,0.31627,1.82471,1.52206,2.75423,0.067193,0.000331384,0.000331384
2,119.926,1.84361,1.62765,2.70298,0.58317,0.69457,0.67926,0.30615,1.82624,1.70379,2.69686,0.0341272,0.00059891,0.00059891
3,163.451,1.69806,1.50923,2.44512,0.6185,0.64215,0.63292,0.31283,1.76498,1.59146,2.62287,0.000995368,0.000800437,0.000800437
4,207.268,1.71905,1.54361,2.44445,0.59259,0.64727,0.69526,0.33373,1.73567,1.57303,2.65276,0.000703,0.000703,0.000703
5,250.947,1.65012,1.45905,2.40651,0.56327,0.70397,0.67558,0.34412,1.72288,1.48824,2.59525,0.000604,0.000604,0.000604
6,294.473,1.6619,1.41323,2.32638,0.63929,0.67196,0.7164,0.35952,1.73716,1.45738,2.56523,0.000505,0.000505,0.000505
7,338.209,1.62591,1.37244,2.33925,0.68789,0.63614,0.73222,0.37487,1.71029,1.46855,2.55027,0.000406,0.000406,0.000406
8,381.773,1.57827,1.34637,2.21311,0.66355,0.68337,0.75149,0.39925,1.66116,1.43502,2.52792,0.000307,0.000307,0.000307
9,425.583,1.53401,1.32525,2.22241,0.68689,0.67495,0.7333,0.38671,1.64141,1.42767,2.52368,0.000208,0.000208,0.000208
10,469.552,1.53115,1.28134,2.18021,0.71642,0.70234,0.73865,0.39107,1.66503,1.39102,2.53038,0.000109,0.000109,0.000109
