epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1248,1.31673,1.21071,1.68431,0.54057,0.62369,0.62257,0.30843,1.68463,1.69945,2.09679,0.0672463,0.000330846,0.000330846
2,63.3508,1.28984,1.16823,1.63881,0.63192,0.63392,0.65556,0.29814,1.89589,1.61118,2.33587,0.0341805,0.000598425,0.000598425
3,80.7237,1.33766,1.19041,1.65683,0.59751,0.63672,0.63878,0.29943,1.81411,1.6356,2.17602,0.00104876,0.000800005,0.000800005
4,98.3164,1.38244,1.2792,1.69457,0.70973,0.64147,0.7223,0.34655,1.75826,1.51799,2.06377,0.000703,0.000703,0.000703
5,115.744,1.3623,1.19683,1.70808,0.59569,0.63664,0.67741,0.32803,1.74903,1.51984,2.09872,0.000604,0.000604,0.000604
6,133.272,1.34569,1.12888,1.64412,0.69944,0.66567,0.71208,0.34103,1.75006,1.46386,2.06819,0.000505,0.000505,0.000505
7,150.683,1.37541,1.12106,1.7058,0.69021,0.68168,0.70772,0.32352,1.76335,1.52448,2.07685,0.000406,0.000406,0.000406
8,168.217,1.31259,1.10721,1.63705,0.69475,0.77601,0.75694,0.36228,1.63889,1.50917,1.93978,0.000307,0.000307,0.000307
9,185.618,1.30926,1.0959,1.65644,0.66673,0.73387,0.71737,0.33794,1.67024,1.51437,1.97987,0.000208,0.000208,0.000208
10,202.861,1.29075,1.06044,1.60171,0.71343,0.73038,0.71274,0.35352,1.66173,1.51276,2.02055,0.000109,0.000109,0.000109
