epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7659,1.06142,0.87036,1.44874,0.65024,0.64347,0.70848,0.33274,1.93913,1.55049,2.50334,0.0672463,0.000330846,0.000330846
2,65.6873,1.06152,0.86737,1.44578,0.67986,0.61353,0.66481,0.29024,1.95986,1.71397,2.63309,0.0341805,0.000598425,0.000598425
3,89.405,1.13508,0.94269,1.50533,0.5816,0.63075,0.56394,0.26562,1.89948,1.79368,2.40197,0.00104876,0.000800005,0.000800005
4,106.654,1.23851,1.0752,1.59138,0.61586,0.63325,0.61954,0.28202,1.89791,1.58454,2.38683,0.000703,0.000703,0.000703
5,124.07,1.23278,0.99006,1.572,0.65559,0.64728,0.65058,0.29255,1.83164,1.54389,2.28706,0.000604,0.000604,0.000604
6,148.142,1.1953,0.93929,1.52635,0.66976,0.61538,0.65401,0.30924,1.85007,1.50839,2.31108,0.000505,0.000505,0.000505
7,167.582,1.29782,1.0104,1.61803,0.63633,0.65288,0.67618,0.30978,1.83447,1.57689,2.19772,0.000406,0.000406,0.000406
8,185.03,1.23844,1.0023,1.57286,0.64639,0.71879,0.67111,0.30464,1.70617,1.52414,2.05621,0.000307,0.000307,0.000307
9,202.274,1.26522,1.00269,1.61279,0.57017,0.74015,0.6958,0.3301,1.69702,1.51012,2.0618,0.000208,0.000208,0.000208
10,219.446,1.25148,0.96914,1.5563,0.6708,0.72352,0.72931,0.34589,1.70486,1.47798,2.06487,0.000109,0.000109,0.000109
