epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1559,1.27266,1.09666,1.62283,0.69334,0.48662,0.61272,0.294,1.94796,1.7392,2.36503,0.0675771,0.000661692,0.000661692
2,66.0003,1.39365,1.25537,1.7207,0.43774,0.6043,0.54078,0.24605,1.95713,1.74112,2.38024,0.0347789,0.00119685,0.00119685
3,84.3959,1.52784,1.3573,1.84786,0.6081,0.56106,0.60591,0.28235,1.80998,1.72763,2.20217,0.00184877,0.00160001,0.00160001
4,102.347,1.56268,1.40093,1.8645,0.51297,0.63292,0.5902,0.24637,2.0186,1.58587,2.35702,0.001406,0.001406,0.001406
5,120.816,1.62112,1.38494,1.89196,0.55262,0.59443,0.6021,0.27156,1.88455,1.69886,2.27177,0.001208,0.001208,0.001208
6,139.504,1.54459,1.29202,1.81946,0.62528,0.6239,0.63109,0.30768,1.87418,1.57453,2.16302,0.00101,0.00101,0.00101
7,157.71,1.57553,1.29634,1.85245,0.63635,0.64928,0.65618,0.27555,1.88227,1.81951,2.15479,0.000812,0.000812,0.000812
8,175.495,1.49596,1.27212,1.78788,0.75493,0.69354,0.73836,0.35665,1.73154,1.5981,2.02393,0.000614,0.000614,0.000614
9,192.994,1.45448,1.22977,1.76348,0.65645,0.66174,0.71583,0.36188,1.65599,1.46447,1.9873,0.000416,0.000416,0.000416
10,210.539,1.43352,1.17937,1.7213,0.70635,0.71654,0.78355,0.38092,1.66426,1.45381,1.98717,0.000218,0.000218,0.000218
