epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.6482,1.89647,1.69468,2.98713,0.65579,0.66112,0.68703,0.32587,1.8237,1.47936,2.74247,0.067193,0.000331384,0.000331384
2,129.869,1.74612,1.52603,2.64313,0.55895,0.67917,0.65761,0.30964,1.83741,1.59102,2.81926,0.0341272,0.00059891,0.00059891
3,173.49,1.6896,1.47556,2.42347,0.68113,0.67142,0.69625,0.3379,1.80895,1.5204,2.67383,0.000995368,0.000800437,0.000800437
4,217.323,1.66571,1.52066,2.39919,0.60662,0.69103,0.71694,0.3461,1.73566,1.53163,2.65214,0.000703,0.000703,0.000703
5,261.069,1.62325,1.45943,2.36759,0.62405,0.74928,0.73585,0.36485,1.68919,1.54013,2.56416,0.000604,0.000604,0.000604
6,304.742,1.60989,1.39413,2.28351,0.69767,0.73861,0.76084,0.37262,1.75848,1.44053,2.61219,0.000505,0.000505,0.000505
7,348.153,1.5967,1.34574,2.31955,0.71558,0.74561,0.75227,0.35867,1.7199,1.48741,2.54502,0.000406,0.000406,0.000406
8,391.994,1.57087,1.30607,2.19903,0.79889,0.68947,0.78478,0.39862,1.70962,1.40867,2.54129,0.000307,0.000307,0.000307
9,435.74,1.55248,1.29637,2.24259,0.72711,0.7365,0.76914,0.40355,1.68653,1.37482,2.5456,0.000208,0.000208,0.000208
10,479.402,1.52571,1.25704,2.17999,0.75526,0.72278,0.7775,0.38642,1.66594,1.39849,2.51451,0.000109,0.000109,0.000109
