epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.354,1.22125,0.93219,1.54499,0.58691,0.6066,0.61727,0.31242,1.86553,1.49368,2.27682,0.0674925,0.000328358,0.000328358
2,60.3518,1.21556,0.88502,1.56941,0.62003,0.67678,0.69533,0.33892,1.73049,1.4017,2.06068,0.034427,0.000596184,0.000596184
3,75.2993,1.24657,0.90563,1.58268,0.67318,0.75964,0.73116,0.34331,1.73213,1.35313,2.04128,0.00129552,0.00079801,0.00079801
4,90.2289,1.30702,0.96102,1.62821,0.62811,0.66614,0.66493,0.32484,1.74931,1.40248,2.04367,0.000703,0.000703,0.000703
5,104.952,1.31203,0.99893,1.65339,0.60654,0.69584,0.6947,0.34569,1.6801,1.32927,1.98956,0.000604,0.000604,0.000604
6,121.193,1.26729,0.94963,1.57173,0.7105,0.7125,0.73117,0.38449,1.7003,1.36341,1.99819,0.000505,0.000505,0.000505
7,144.077,1.26628,0.95108,1.5781,0.7655,0.67788,0.75905,0.36633,1.75607,1.32605,2.04143,0.000406,0.000406,0.000406
8,164.491,1.29476,0.91795,1.61054,0.67715,0.75831,0.74403,0.35298,1.74889,1.2888,2.0947,0.000307,0.000307,0.000307
9,179.94,1.28856,0.9186,1.60414,0.75576,0.68497,0.75647,0.37264,1.69453,1.29472,1.99116,0.000208,0.000208,0.000208
10,194.698,1.24448,0.90186,1.55967,0.7735,0.73529,0.74983,0.36901,1.72459,1.27368,2.03706,0.000109,0.000109,0.000109
